16/02/2025;0000005396;5.00;8,50
06/03/2025;0000005059;2.00;3,10
03/07/2025;0000015121;0.96;2,39
17/01/2025;0000005395;2.00;1,70
16/03/2025;0000004985;1.00;2,10
23/04/2025;0000006434;1.00;0,73
17/06/2025;0000006701;1.00;0,99
24/05/2025;0000004706;6.00;6,90
25/04/2025;0000004607;1.00;0,75
19/02/2025;0000006399;1.00;0,32
19/08/2025;0000004912;15.00;8,25
10/05/2025;0000007417;11.00;12,43
02/05/2025;0000013633;3.00;3,78
06/04/2025;0000015401;2.00;1,50
02/09/2025;0000008738;1.00;0,32
09/08/2025;0000011710;1.00;0,50
11/01/2025;0000005652;6.00;3,00
25/06/2025;0000005264;1.00;1,35
25/02/2025;0000014228;2.00;2,00
23/04/2025;0000014323;1.00;2,09
13/01/2025;0000009101;11.00;4,18
06/07/2025;0000015165;3.00;6,45
02/05/2025;0000004797;1.00;0,60
05/06/2025;0000006480;2.00;2,00
09/08/2025;0000004695;1.00;1,50
27/02/2025;0000005626;7.00;5,53
21/08/2025;0000005541;1.00;0,75
14/01/2025;0000007919;2.00;7,70
26/02/2025;0000006373;3.00;0,84
28/01/2025;0000014188;8.00;3,20
27/02/2025;0000015457;5.00;9,95
13/03/2025;0000004937;1.00;0,65
10/08/2025;0000007040;1.00;2,00
31/03/2025;0000012918;1.00;0,99
03/04/2025;0000005464;1.00;0,25
15/05/2025;0000005174;1.00;1,29
08/05/2025;0000005074;1.00;1,40
28/03/2025;0000007446;1.00;0,45
14/01/2025;0000004998;6.00;3,44
15/05/2025;0000013716;3.00;2,85
05/05/2025;0000008818;2.00;4,00
11/06/2025;0000004881;7.00;5,04
27/08/2025;0000004949;2.00;5,98
09/06/2025;0000015624;3.00;1,77
08/03/2025;0000005264;2.00;3,10
22/05/2025;0000015657;2.00;1,20
28/06/2025;0000005608;2.00;2,00
10/03/2025;0000006425;3.00;0,84
14/06/2025;0000006129;3.00;4,20
31/01/2025;0000009884;4.00;3,72
02/03/2025;0000012765;2.00;3,90
16/01/2025;0000007317;1.00;0,62
16/07/2025;0000004782;1.00;0,95
23/03/2025;0000005078;10.00;6,00
