0000005237;000708;CHUP. BONBON BUM ROJO FRESA 480G;0.00;1.00
0000004781;000179;T.S INTIMA  ULTRA DELGADA CON ALAS X10;0.00;24.00
0000005313;000782;GALL. MUECAS VAINILLA 100GR;0.00;64.00
0000004590;000392;P.H FAMILIA AROMA X 4R;0.00;12.00
0000004594;000285;SERV FAMILIA NORMAL PQX100;0.00;36.00
0000006048;001540;TIPS DESINFECTANTE LAVANDA 240ML;0.00;48.00
0000006382;001886;CHOC. NUTELLA FERRERO 200GR;0.00;15.00
0000005214;000831;REYOGURT MIX DURAZNO 180G;0.00;24.00
0000005531;001088;TONI MIX CHIQUI GALLETA/CHISP. CHOC. 97ML;0.00;24.00
0000006122;001614;ZANAHORIA;43.92;1.00
0000005638;002986;PICADITAS/LA ITALIANA 450GR;8.00;12.00
0000005673;001165;CER. CHOCAPIC 250GR;0.00;20.00
0000006302;001806;COM. GATOS CHIKI 18KG;38.65;39.00
0000005373;000941;CANELA GRANEL;4.30;15.00
0000013211;008885;JUG. MUÑECA ARTICULADA CON COQUETA;0.00;1.00
0000011580;007228;LECHE TONI FRUTILLA BOT 1L;0.00;6.00
0000011584;007232;TANGO MINI CHOCOLATE BLANCO  FUNDA299GR;0.00;20.00
0000012848;008511;TIPS DESF. MANZANA 3.78 LTS X4UN;0.00;4.00
0000011739;007395;JUGO PURA CREMA NARANJA 500ML;0.00;6.00
0000013270;008944;HOJA  A-4 RESMAS REPORT SUMINISTROS;0.00;10.00
0000013275;008949;ESFERAS NAVIDEÑAS CON LUCES;0.00;1.00
0000011639;007295;JUEGO DE ESCRITORIO PARA NIÑOS;0.00;1.00
0000011646;007302;PROMO[ATUN REAL 180G+TORNILLO AMANC100GR];0.00;1.00
0000011663;007319;COLA SURTIDA 2L;-1.00;1.00
0000011668;007324;GEL EGO ATTRACTION SACHET 8"SX15GR;0.00;8.00
0000011674;007330;NUTRIBELA TRAT REPOLARIZACION  70ML;0.00;1.00
0000012875;008538;MONEDAS CHOCOLATE AMBROSOLI 180GR;0.00;32.00
0000013280;008954;CH. CHIKLOSO FRESA/SURT 480G ICAPEB;0.00;24.00
0000013202;008876;JUG DE TREN PARA ARMAR;0.00;1.00
0000011523;007172;BOLITAS DE QUESO CARLI SNACK 15GR;0.00;12.00
0000011537;007186;CREMA DENTAL ORAL B COMPLETE 50ML;0.00;24.00
0000011314;006963;CAFE TOSTADO RUISEÑOR 200GR;0.00;1.00
0000011315;006964;CARAMELO MAST FRUIT 400GR;0.00;16.00
0000012659;008324;ARROZ SOLO PULPA SAN LUIS QQ;0.00;1.00
0000012676;008339;GEL FORZA FIJACION EXTRA FUERTE 90GR;0.00;1.00
0000012707;008370;ARROZ ENVEJECIDO ONIX;0.00;100.00
0000011464;007112;BEBIDA SAVILOE CON FIBRA 270ML;0.00;6.00
0000011501;007151;HARINA YA LIBREADA 1LB;0.00;1.00
0000011510;007160;PROMO[3ALESOL ACHIOTE 200ML + 1U REAL 80GR GRATIS];0.00;1.00
0000011509;007159;GALLETAS AL GRANEL;0.00;1.00
0000006688;002192;YOG. TONI MIX CHOC/GALL 180GR;0.00;24.00
0000005082;000628;CAMARON EN PLATO 1/2LB;0.00;1.00
0000007414;002913;CAFE ORO FRASCO 50GR;0.00;24.00
0000004935;000404;FIDEO CABELLO DE ANGEL  AMANCAY 100G;40.00;50.00
0000004929;000561;PAFRITAS CREMA DE CEBOLLA 100G;0.00;1.00
0000004795;000411;BIZCOTELAS 75G;0.00;1.00
0000011848;007502;DET LIQUIDO PERLA BEBE ALGODON 300ML;5.00;12.00
0000011761;007417;VASOS  TRANSP HG X 50"S X 12 OZ;9.00;80.00
0000013284;008958;MENTA POLAR  MASTICABLE EGO 320GX30FUN;0.00;30.00
0000011811;007466;DET. CICLON OXI 340GR;0.00;30.00
0000011804;007460;PROMO[SUAFLOR400+DEJASUA400+DSANT150];0.00;1.00
0000011862;007515;TRULULU MASMELOS UNICORNIO 60GR;0.00;1.00
0000011865;007518;MAJAR MALLITA VANTY;0.00;12.00
0000005497;001054;MERM. FACUNDO  FRUTILLA 300GR;0.00;12.00
0000007564;003070;POS ACE. JAB. PALMOLIVE JAZMIN Y MANTECA DE CACAO;0.00;72.00
0000007569;003075;CHOC. RAPICHOC BLANCO 1KG;0.00;12.00
0000006238;001730;BANDEJA ALUMINIO GOLDERY RECTANGULAR;0.00;25.00
0000006569;002073;POWERADE UVA 1LT;0.00;6.00
0000006945;002448;AMB. PASTILLA WINPLUS CEREZA 90GR;0.00;48.00
0000006738;002242;CHOC. SUPERIOR  BARRA LA UNIVERSAL 200GR;0.00;30.00
0000006973;002476;NUTRIBELA10 BIOKERATINA LOT 27ML;0.00;288.00
0000006921;002424;MANTECA 3 CHANCHITOS 1LB (453,6GR);0.00;20.00
