0000005968;Und.                                              ;1.000
0000005968;Paq.                                              ;3.000
0000005968;Neg.                                              ;9.000
0000005969;Und.                                              ;1.000
0000005969;Neg.                                              ;3.000
0000005970;Und.                                              ;1.000
0000005970;Neg.                                              ;3.000
0000007236;Und.                                              ;1.000
0000007236;Neg.                                              ;3.000
0000005917;Und.                                              ;1.000
0000005509;Und.                                              ;0.010
0000005509;Und.                                              ;1.000
0000005509;Neg.                                              ;3.000
0000005509;½cja                                              ;10.000
0000009041;Und                                               ;1.000
0000005509;Cja.                                              ;20.000
0000005983;Und.                                              ;1.000
0000005983;Neg.                                              ;3.000
0000005984;Und.                                              ;1.000
0000005984;Neg.                                              ;3.000
0000007505;Und.                                              ;1.000
0000008693;Und                                               ;1.000
0000005997;Und.                                              ;1.000
0000005997;Paq.                                              ;3.000
0000005997;Cja.                                              ;48.000
0000006562;Und.                                              ;1.000
0000006562;Neg.                                              ;3.000
0000006563;Und.                                              ;1.000
0000006563;Neg.                                              ;3.000
0000006564;Und.                                              ;1.000
0000006564;Neg.                                              ;3.000
0000007985;Und.                                              ;1.000
0000007785;Und.                                              ;1.000
0000007815;Und.                                              ;1.000
0000009388;Und                                               ;1.000
0000009389;Und                                               ;1.000
0000008788;Und                                               ;1.000
0000009965;Und                                               ;1.000
0000009966;Und                                               ;1.000
0000008901;Und                                               ;1.000
0000009967;Und                                               ;1.000
0000006648;Und.                                              ;1.000
0000008286;Tir.                                              ;18.000
0000008701;Und                                               ;1.000
0000008702;Und                                               ;1.000
0000006061;Und.                                              ;1.000
0000006061;Neg.                                              ;3.000
0000008703;Und                                               ;1.000
0000008704;Und                                               ;1.000
0000007101;Und.                                              ;1.000
0000006063;Und.                                              ;1.000
0000006068;Und.                                              ;1.000
0000006068;Neg.                                              ;6.000
0000006133;Neg.                                              ;3.000
0000006074;Und.                                              ;1.000
0000006074;Neg.                                              ;3.000
0000006075;Und.                                              ;1.000
0000006075;Tir.                                              ;12.000
0000006076;Tir.                                              ;12.000
0000006077;Und.                                              ;1.000
0000006077;Tir.                                              ;12.000
0000006078;Und.                                              ;1.000
0000006078;Tir.                                              ;12.000
0000007252;Cja.                                              ;200.000
0000006080;Und.                                              ;1.000
0000006080;Neg.                                              ;3.000
0000006651;Und.                                              ;1.000
0000006652;Und.                                              ;1.000
0000006652;Neg.                                              ;3.000
0000006652;Cja.                                              ;48.000
0000006070;Cja.                                              ;144.000
0000008348;Cja.                                              ;12.000
0000005671;Dis.                                              ;12.000
0000005658;Und.                                              ;1.000
0000006100;Und.                                              ;1.000
0000008388;Und                                               ;1.000
0000006101;Und.                                              ;1.000
0000006101;Neg.                                              ;3.000
0000007319;Und.                                              ;1.000
0000007319;Neg.                                              ;6.000
0000007319;Cja.                                              ;125.000
0000008388;Cja.                                              ;24.000
0000006671;Und.                                              ;1.000
0000006653;Cja.                                              ;48.000
0000006671;Dis.                                              ;12.000
0000006178;Und.                                              ;1.000
0000006137;Und.                                              ;1.000
0000006137;Quintal                                           ;66.000
0000006178;Neg.                                              ;3.000
0000006759;Und.                                              ;1.000
0000006759;Neg.                                              ;3.000
0000007190;Paq.                                              ;8.000
0000006179;Und.                                              ;1.000
0000008284;Und                                               ;1.000
0000006134;Neg.                                              ;3.000
0000008653;Und                                               ;1.000
0000009335;Neg                                               ;3.000
0000006216;Und.                                              ;1.000
0000006185;Und.                                              ;1.000
0000006185;Neg.                                              ;3.000
0000008622;Cja.                                              ;100.000
0000008953;Und                                               ;1.000
0000009968;Und                                               ;1.000
0000009969;Und                                               ;1.000
0000006644;Und.                                              ;1.000
0000009823;Und                                               ;1.000
0000009473;Und                                               ;1.000
0000009334;Neg                                               ;3.000
0000007468;Und.                                              ;1.000
0000007468;Neg.                                              ;12.000
0000007468;Cja.                                              ;54.000
0000006668;Und.                                              ;1.000
0000006668;Dis.                                              ;12.000
0000006668;Cja.                                              ;288.000
0000006669;Und.                                              ;1.000
0000008540;Und.                                              ;1.000
0000009467;Und                                               ;1.000
0000006669;Dis.                                              ;12.000
0000005425;Und.                                              ;1.000
0000009499;Cja.                                              ;18.000
0000006162;Und.                                              ;1.000
0000005425;Dis.                                              ;10.000
0000005425;Cja.                                              ;240.000
0000005661;Und.                                              ;1.000
0000005661;Paq.                                              ;10.000
0000006670;Cja.                                              ;288.000
0000009588;Und                                               ;1.000
0000005544;Und.                                              ;1.000
0000007510;Und.                                              ;1.000
0000007842;Und.                                              ;1.000
0000007745;Und.                                              ;1.000
0000007510;Dis.                                              ;8.000
0000007510;Caj.                                              ;144.000
0000008541;Und.                                              ;1.000
0000007856;Und.                                              ;1.000
0000007856;Caj.                                              ;24.000
0000005325;Und.                                              ;1.000
0000005325;Neg.                                              ;3.000
0000007128;Und.                                              ;1.000
0000007128;Neg.                                              ;3.000
0000006401;Cja.                                              ;288.000
0000007128;Cja.                                              ;12.000
0000007129;Und.                                              ;1.000
0000007129;Neg.                                              ;3.000
0000008897;Und                                               ;1.000
0000008898;Und                                               ;1.000
0000009222;Und                                               ;1.000
0000006369;Und.                                              ;1.000
0000006369;Dis.                                              ;12.000
0000007046;Neg.                                              ;3.000
0000007397;Und.                                              ;1.000
0000007398;Und.                                              ;1.000
0000007398;Pac.                                              ;12.000
0000006376;Und.                                              ;1.000
0000006376;Paq.                                              ;3.000
0000006361;Und.                                              ;1.000
0000006361;Tir.                                              ;13.000
0000006383;Und.                                              ;1.000
0000006383;Neg.                                              ;3.000
0000005538;Und.                                              ;1.000
0000006588;Und.                                              ;1.000
0000006588;Neg.                                              ;3.000
0000008777;Und                                               ;1.000
0000005550;Cja.                                              ;15.000
0000006380;Neg.                                              ;3.000
0000006380;Cja.                                              ;12.000
0000005548;Neg.                                              ;3.000
0000005548;Cja.                                              ;12.000
0000006406;Und.                                              ;1.000
0000006406;Neg.                                              ;6.000
0000008355;Und                                               ;1.000
0000006408;Und.                                              ;1.000
0000006408;Neg.                                              ;3.000
0000006853;Und.                                              ;1.000
0000007049;Und.                                              ;1.000
0000006207;Und.                                              ;1.000
0000008287;Und                                               ;1.000
0000008648;Und                                               ;1.000
0000006706;Und.                                              ;1.000
0000009023;Und                                               ;1.000
0000006832;Bul.                                              ;4.000
0000008648;Caj.                                              ;48.000
0000007433;Neg.                                              ;6.000
0000006597;Neg.                                              ;3.000
0000008347;Und                                               ;1.000
0000006644;Neg.                                              ;3.000
0000009903;Und                                               ;1.000
0000006647;Und.                                              ;1.000
0000006647;Paq.                                              ;6.000
0000005512;Und.                                              ;1.000
